File Name,Ticker,Earnings Date and Time,closing_price_next_day,closing_price_previous_day,price_7_days_before,price_15_days_before,perc_change_next_prev,perc_change_prev_7,perc_change_7_15
AAPLQ12015,AAPL,"January 27, 2015 at 5:00 PM ET",25.77179527282715,24.392805099487305,23.68877410888672,23.749120712280273,5.65,2.97,-0.25
AAPLQ12016,AAPL,"January 26, 2016 at 5:00 PM ET",21.23512840270996,22.72854995727539,22.078439712524414,23.346820831298828,-6.57,2.94,-5.43
AAPLQ12017,AAPL,"January 31, 2017 at 5:00 PM ET",29.91707420349121,28.197568893432617,27.883872985839844,27.677074432373047,6.1,1.13,0.75
AAPLQ12018,AAPL,"February 1, 2018 at 5:00 PM ET",37.8944206237793,39.61323928833008,41.7995491027832,41.384002685546875,-4.34,-5.23,1.0
AAPLQ12019,AAPL,"January 29, 2019 at 5:00 PM ET",39.60165786743164,37.06858825683594,37.5814323425293,36.12677001953125,6.83,-1.36,4.03
AAPLQ12020,AAPL,"January 28, 2020 at 5:00 PM ET",78.89492797851562,77.27732849121094,77.53030395507812,72.5826644897461,2.09,-0.33,6.82
AAPLQ12021,AAPL,"January 27, 2021 at 5:00 PM ET",134.53921508789062,139.41671752929688,124.77433776855469,124.24437713623047,-3.5,11.74,0.43
AAPLQ12022,AAPL,"January 27, 2022 at 5:00 PM ET",168.19122314453125,157.22071838378906,167.66786193847656,169.84024047851562,6.98,-6.23,-1.28
AAPLQ12023,AAPL,"February 2, 2023 at 5:00 PM ET",153.44541931152344,149.79055786132812,141.55711364746094,132.49937438964844,2.44,5.82,6.84
AAPLQ12024,AAPL,"February 1, 2024 at 5:00 PM ET",185.6131591796875,186.6218719482422,194.93125915527344,185.35348510742188,-0.54,-4.26,5.17
AAPLQ22015,AAPL,"April 27, 2015 at 5:00 PM ET",29.29533576965332,29.764301300048828,28.310302734375,28.575069427490234,-1.58,5.14,-0.93
AAPLQ22016,AAPL,"April 26, 2016 at 5:00 PM ET",22.35594367980957,23.848318099975586,25.10529327392578,25.09615707397461,-6.26,-5.01,0.04
AAPLQ22017,AAPL,"May 2, 2017 at 5:00 PM ET",34.31983947753906,34.42487716674805,33.20198059082031,33.05263137817383,-0.31,3.68,0.45
AAPLQ22018,AAPL,"May 1, 2018 at 5:00 PM ET",41.858551025390625,40.087677001953125,39.286407470703125,41.071495056152344,4.42,2.04,-4.35
AAPLQ22019,AAPL,"April 30, 2019 at 5:00 PM ET",50.666847229003906,48.29618835449219,49.06394577026367,48.01460647583008,4.91,-1.56,2.19
AAPLQ22020,AAPL,"April 30, 2020 at 5:00 PM ET",70.48248291015625,71.6357421875,65.4352798461914,65.3426284790039,-1.61,9.48,0.14
AAPLQ22021,AAPL,"April 28, 2021 at 5:00 PM ET",131.1920928955078,131.29037475585938,132.52879333496094,125.70775604248047,-0.07,-0.93,5.43
AAPLQ22022,AAPL,"April 28, 2022 at 5:00 PM ET",155.8687744140625,161.7910919189453,165.50860595703125,170.195068359375,-3.66,-2.25,-2.75
AAPLQ22023,AAPL,"May 4, 2023 at 5:00 PM ET",172.64845275878906,164.9097442626953,162.90049743652344,164.68096923828125,4.69,1.23,-1.08
AAPLQ32014,AAPL,"July 22, 2014 at 5:00 AM ET",20.974206924438477,20.80149269104004,21.08492088317871,20.708480834960938,0.83,-1.34,1.82
AAPLQ32015,AAPL,"July 21, 2015 at 5:00 PM ET",28.214506149291992,29.46051597595215,27.777374267578125,28.261817932128906,-4.23,6.06,-1.71
AAPLQ32016,AAPL,"July 26, 2016 at 5:00 PM ET",23.67160987854004,22.22763442993164,22.712787628173828,21.84134864807129,6.5,-2.14,3.99
AAPLQ32017,AAPL,"August 1, 2017 at 5:00 PM ET",36.823612213134766,35.16216278076172,35.213722229003906,34.102962493896484,4.73,-0.15,3.26
AAPLQ32018,AAPL,"July 31, 2018 at 5:00 PM ET",47.95278549194336,45.2850227355957,45.5587158203125,45.2993049621582,5.89,-0.6,0.57
AAPLQ32019,AAPL,"July 30, 2019 at 5:00 PM ET",51.47079849243164,50.441566467285156,48.9460563659668,48.61990737915039,2.04,3.06,0.67
AAPLQ32020,AAPL,"July 30, 2020 at 5:00 PM ET",103.91590118408203,94.0680160522461,94.86015319824219,93.64016723632812,10.47,-0.84,1.3
AAPLQ32021,AAPL,"July 27, 2021 at 5:00 PM ET",142.73703002929688,144.49935913085938,144.12521362304688,139.82284545898438,-1.22,0.26,3.08
AAPLQ32022,AAPL,"July 28, 2022 at 5:00 PM ET",160.909912109375,155.8007354736328,149.5132598876953,144.9090576171875,3.28,4.21,3.18
