File Name,average_volume_50_days,quant_score_NER,financial_performance_score,market_position_score,strategic_direction_score,operational_aspects_score,financial_indicators_score,risks_challenges_score,economic_factors_score,% Change Revenue,% Change EPS GAAP,% Change EPS Normalized,Ticker,Earnings Date and Time,closing_price_next_day,closing_price_previous_day,price_7_days_before,price_15_days_before,perc_change_next_prev,perc_change_prev_7,perc_change_7_15,Month
AAPL2019Q1,171486317.6470588,0.6917272727272729,0.585688888888889,0.5848375,0.6970037037037037,0.70001875,0.55816,0.40105,0.4220384615384615,0.37,0.27,0.27,AAPL,2019-01-29 17:00:00,39.60165786743164,37.06858825683594,37.5814323425293,36.12677001953125,6.83,-1.36,4.03,1.0
AAPL2020Q1,127176623.52941176,0.7450833333333333,0.5773657142857145,0.7054466666666668,0.6484259259259261,0.6263846153846154,0.6197785714285714,0.1622428571428571,0.4774166666666666,3.86,9.97,9.93,AAPL,2020-01-28 17:00:00,78.89492797851562,77.27732849121094,77.53030395507812,72.5826644897461,2.09,-0.33,6.82,1.0
AAPL2021Q1,111224538.23529412,0.7187944444444443,0.6464136363636365,0.7867333333333335,0.7519766666666666,0.6200066666666667,0.5526428571428571,0.6712300000000001,0.4909083333333333,7.94,18.67,18.67,AAPL,2021-01-27 17:00:00,134.53921508789062,139.41671752929688,124.77433776855467,124.24437713623048,-3.5,11.74,0.43,1.0
AAPL2022Q1,103514805.71428572,0.716564705882353,0.6308800000000001,0.7252666666666666,0.5978062500000001,0.4576818181818182,0.4868699999999998,0.26682,0.5592375,4.53,11.2,11.16,AAPL,2022-01-27 17:00:00,168.19122314453125,157.22071838378906,167.66786193847656,169.84024047851562,6.98,-6.23,-1.28,1.0
AAPL2023Q1,78612929.41176471,0.5618416666666667,0.4764333333333333,0.5184117647058825,0.4063888888888889,0.0766666666666666,0.2006818181818181,0.2918769230769231,0.1519210526315789,-3.71,-3.78,-3.67,AAPL,2023-02-02 17:00:00,153.44541931152344,149.79055786132812,141.55711364746094,132.49937438964844,2.44,5.82,6.84,2.0
AAPL2024Q1,55988147.058823526,0.6337434782608695,0.5390777777777778,0.6788148148148146,0.638225,0.5356428571428572,0.5912900000000001,0.272225,0.3728125,1.11,3.55,3.66,AAPL,2024-02-01 17:00:00,185.6131591796875,186.6218719482422,194.93125915527344,185.35348510742188,-0.54,-4.26,5.17,2.0
AAPL2018Q2,134038077.77777778,0.7407956521739131,0.571092,0.7613866666666668,0.6626727272727274,0.7413333333333333,0.4769714285714285,0.7510999999999999,0.4606777777777778,0.37,2.19,2.19,AAPL,2018-05-01 17:00:00,41.85855102539063,40.087677001953125,39.286407470703125,41.07149505615234,4.42,2.04,-4.35,5.0
AAPL2019Q2,112714788.8888889,0.7017850000000001,0.6240111111111112,0.8190558823529414,0.7677423076923079,0.78208,0.5172166666666667,0.7008750000000001,0.37955,1.08,4.05,4.05,AAPL,2019-04-30 17:00:00,50.66684722900391,48.29618835449219,49.06394577026367,48.01460647583008,4.91,-1.56,2.19,4.0
AAPL2020Q2,213320444.44444445,0.8184384615384614,0.4020111111111111,0.6608576923076925,0.5511172413793103,0.5525090909090908,0.668811111111111,0.3463299999999999,0.5126222222222223,6.72,12.93,12.93,AAPL,2020-04-30 17:00:00,70.48248291015625,71.6357421875,65.4352798461914,65.3426284790039,-1.61,9.48,0.14,4.0
AAPL2021Q2,96152830.55555557,0.6451894736842105,0.6246640000000001,0.8027974358974359,0.7316310344827586,0.6818416666666667,0.5471142857142857,0.253375,0.61855,15.91,42.16,41.59,AAPL,2021-04-28 17:00:00,131.1920928955078,131.29037475585938,132.52879333496094,125.70775604248048,-0.07,-0.93,5.43,4.0
AAPL2022Q2,88490727.77777778,0.4998310344827587,0.4157619047619048,0.5613611111111111,0.4678911764705882,0.5430666666666667,0.3143916666666666,0.3099416666666666,0.3625230769230769,3.49,6.48,6.3,AAPL,2022-04-28 17:00:00,155.8687744140625,161.7910919189453,165.50860595703125,170.195068359375,-3.66,-2.25,-2.75,4.0
AAPL2023Q2,57980363.88888889,0.7055666666666667,0.5328173913043477,0.7049612903225807,0.7248933333333334,0.5024133333333334,0.60915,0.6721166666666667,0.37844375,2.15,6.37,6.28,AAPL,2023-05-04 17:00:00,172.64845275878906,164.9097442626953,162.90049743652344,164.68096923828125,4.69,1.23,-1.08,5.0
AAPL2018Q3,86789288.8888889,0.6865863636363636,0.7100227272727273,0.7166838709677419,0.7507176470588235,0.8799000000000001,0.74947,0.6373142857142857,0.634457142857143,1.59,7.38,7.33,AAPL,2018-07-31 17:00:00,47.95278549194336,45.2850227355957,45.5587158203125,45.2993049621582,5.89,-0.6,0.57,7.0
AAPL2019Q3,85048977.77777778,0.6991857142857143,0.6569391304347826,0.7926470588235295,0.6771307692307692,0.7591285714285715,0.5132461538461539,0.2682,0.5228062499999999,0.68,3.62,3.71,AAPL,2019-07-30 17:00:00,51.47079849243164,50.44156646728516,48.9460563659668,48.61990737915039,2.04,3.06,0.67,7.0
AAPL2020Q3,143006088.8888889,0.6954380952380952,0.6045695652173914,0.8011888888888891,0.721884,0.5678368421052631,0.6121833333333334,0.520775,0.7730874999999999,13.57,24.45,24.47,AAPL,2020-07-30 17:00:00,103.91590118408205,94.0680160522461,94.8601531982422,93.64016723632812,10.47,-0.84,1.3,7.0
AAPL2021Q3,83367758.33333333,0.6501238095238095,0.5485,0.7571394736842105,0.6756851851851852,0.6441727272727273,0.5264076923076924,0.4363749999999999,0.8058299999999999,11.02,28.56,28.18,AAPL,2021-07-27 17:00:00,142.73703002929688,144.49935913085938,144.12521362304688,139.82284545898438,-1.22,0.26,3.08,7.0
AAPL2022Q3,77709334.28571428,0.4766687499999999,0.395475,0.4639176470588236,0.4847928571428572,0.47889,-0.0449727272727272,-0.0757384615384615,0.109,-0.01,3.93,3.86,AAPL,2022-07-28 17:00:00,160.909912109375,155.8007354736328,149.5132598876953,144.9090576171875,3.28,4.21,3.18,7.0
AAPL2023Q3,52916865.71428572,0.5518909090909091,0.5266799999999999,0.6907621621621621,0.5582576923076922,0.5260125,0.4753461538461538,-0.19664,0.4947631578947368,-0.0,5.66,5.47,AAPL,2023-08-03 17:00:00,181.27415466308597,190.41802978515625,192.8583831787109,189.79049682617188,-4.8,-1.27,1.62,8.0
AAPL2018Q4,142610302.7027027,0.7925000000000001,0.663825,0.6809035714285712,0.7272461538461539,0.8263400000000001,0.4464357142857143,0.1320599999999999,0.4784785714285713,2.14,4.55,4.55,AAPL,2018-11-01 17:00:00,49.54905700683594,53.06917572021485,53.19096374511719,51.21358871459961,-6.63,-0.23,3.86,11.0
AAPL2019Q4,108787329.72972973,0.74775,0.7243590909090909,0.7385137931034482,0.7188692307692306,0.8785666666666666,0.60415,0.3659799999999999,0.63322,1.53,6.54,6.54,AAPL,2019-10-30 17:00:00,60.32915878295898,58.99528884887695,58.32836532592773,55.0592041015625,2.26,1.14,5.94,10.0
AAPL2020Q4,146378337.83783785,0.392323076923077,0.5397,0.6401633333333333,0.681048387096774,0.4755357142857143,0.5246599999999999,0.1143454545454545,0.4674666666666667,2.16,4.5,4.48,AAPL,2020-10-29 17:00:00,106.65046691894533,112.9793472290039,115.12492370605467,112.63645935058594,-5.6,-1.86,2.21,10.0
AAPL2021Q4,79633645.94594595,0.616135294117647,0.526004761904762,0.6278675675675676,0.6538937499999999,0.50205,0.4228374999999999,0.2809142857142857,0.5768857142857142,-1.62,0.17,0.17,AAPL,2021-10-28 17:00:00,147.70346069335938,150.43467712402344,146.677978515625,141.28456115722656,-1.82,2.56,3.82,10.0
AAPL2022Q4,93655524.32432432,0.5594315789473684,0.5231761904761905,0.6156999999999999,0.6207357142857142,0.6222222222222222,0.2688625,0.2696111111111111,0.28941,1.54,1.44,1.44,AAPL,2022-10-27 17:00:00,154.42079162597656,143.57347106933594,142.53236389160156,144.1981201171875,7.56,0.73,-1.16,10.0
AAPL2023Q4,57957948.64864865,0.542678947368421,0.459274074074074,0.5314648648648648,0.5920875,0.6007416666666666,0.2382399999999999,0.0846,0.3609583333333333,0.15,4.93,4.82,AAPL,2023-11-02 17:00:00,176.19273376464844,177.11038208007812,172.99105834960938,180.24224853515625,-0.52,2.38,-4.02,11.0
